leiden_scvi_bcell	score_ISG	score_HLA	score_NFkB	score_scarring
0	0.06116096	1.308883	0.074266024	0.5017952
2	0.3926891	0.7466123	0.087189704	0.4249124
1	0.042362023	0.95591223	0.04583534	0.36314657
