signature_name	rank	score	compound_raw	class	moa	target	source	pert_id	cell_id	pert_dose	pert_dose_unit	pert_time	pert_time_unit	sig_id	pubchem_id	input_file	pert_desc	drugchem_id	compound_normalized
GSE195452_bcells_cluster2	19	0.0406	EMETINE	protein_synthesis_inhibitor	translation inhibitor (40S)	RPL/RPS (ribosome)	override	BRD-A25687296	HA1E	10.0	um	6.0	h	CPC004_HA1E_6H:BRD-A25687296:10.0	5702048.0	results/paper2_bcells_scvi/l1000cds2/GSE195452_bcells_cluster2.tsv	EMETINE		emetine
GSE195452_bcells_cluster2	20	0.0406	ERYTHROSINE SODIUM	dye/unclear	food dye; unclear mechanism	unknown	override	BRD-K14920963	HA1E	10.0	um	6.0	h	CPC004_HA1E_6H:BRD-K14920963:10.0	25162930.0	results/paper2_bcells_scvi/l1000cds2/GSE195452_bcells_cluster2.tsv	ERYTHROSINE SODIUM		erythrosine sodium
GSE195452_bcells_cluster2	21	0.0406	calyculin A	PP2A_inhibitor	PP1/PP2A phosphatase inhibitor	PPP1CA/PPP2CA	override	BRD-A47513740	HA1E	10.0	um	24.0	h	CPC005_HA1E_24H:BRD-A47513740:10.0	16760037.0	results/paper2_bcells_scvi/l1000cds2/GSE195452_bcells_cluster2.tsv	calyculin A		calyculin a
GSE195452_bcells_cluster2	22	0.0406	TENIPOSIDE	Topoisomerase_inhibitor	Topoisomerase II inhibitor	TOP2	curated	BRD-A35588707	A375	1.25	um	24.0	h	CPC006_A375_24H:BRD-A35588707:1.25	6708778.0	results/paper2_bcells_scvi/l1000cds2/GSE195452_bcells_cluster2.tsv	TENIPOSIDE		teniposide
GSE195452_bcells_cluster2	24	0.0406	TW 37	BCL2_inhibitor	BCL-2 family inhibitor	BCL2/BCL2L1	override	BRD-K28360340	A375	10.0	um	24.0	h	CPC006_A375_24H:BRD-K28360340:10.0	11455910.0	results/paper2_bcells_scvi/l1000cds2/GSE195452_bcells_cluster2.tsv	TW 37		tw 37
GSE195452_bcells_cluster2	25	0.0406	NICLOSAMIDE	mitochondrial_uncoupler	mitochondrial uncoupler / pleiotropic signaling	mitochondria	override	BRD-K35960502	A375	10.0	um	24.0	h	CPC006_A375_24H:BRD-K35960502:10.0	4477.0	results/paper2_bcells_scvi/l1000cds2/GSE195452_bcells_cluster2.tsv	NICLOSAMIDE		niclosamide
GSE195452_bcells_cluster2	26	0.0406	528116.cdx	UNMAPPED			unmapped	BRD-K49371609	A375	0.09	um	24.0	h	CPC006_A375_24H:BRD-K49371609:0.09	10275789.0	results/paper2_bcells_scvi/l1000cds2/GSE195452_bcells_cluster2.tsv	528116.cdx		528116cdx
GSE195452_bcells_cluster2	27	0.0406	Narciclasine	protein_synthesis_inhibitor	translation inhibitor / cytoskeletal effects	RPL/RPS (ribosome)	override	BRD-K06792661	HA1E	10.0	um	6.0	h	CPC006_HA1E_6H:BRD-K06792661:10.0	72376.0	results/paper2_bcells_scvi/l1000cds2/GSE195452_bcells_cluster2.tsv	Narciclasine		narciclasine
GSE195452_bcells_cluster2	28	0.0406	Emetine Dihydrochloride Hydrate (74)	protein_synthesis_inhibitor	translation inhibitor (40S)	RPL/RPS (ribosome)	override	BRD-K01976263	MCF7	0.63	um	24.0	h	CPC006_MCF7_24H:BRD-K01976263:0.63	11957493.0	results/paper2_bcells_scvi/l1000cds2/GSE195452_bcells_cluster2.tsv	Emetine Dihydrochloride Hydrate (74)		emetine dihydrochloride hydrate 74
GSE195452_bcells_cluster2	30	0.0406	curcumin	NFkB_inhibitor	polypharmacology; NF-kB pathway suppression	NF-kB (pathway)	override	BRD-K74148702	NOMO1	48.0	um	6.0	h	CPC006_NOMO1_6H:BRD-K74148702:48.0	16760039.0	results/paper2_bcells_scvi/l1000cds2/GSE195452_bcells_cluster2.tsv	curcumin		curcumin
GSE195452_bcells_cluster2	31	0.0406	manumycin A	farnesyltransferase_inhibitor	farnesyltransferase inhibitor	FNTA/FNTB	override	BRD-K78599730	SW948	9.08	um	6.0	h	CPC006_SW948_6H:BRD-K78599730:9.08	44483259.0	results/paper2_bcells_scvi/l1000cds2/GSE195452_bcells_cluster2.tsv	manumycin A		manumycin a
GSE195452_bcells_cluster2	32	0.0406	AZD8055	mTOR_inhibitor	mTORC1/2 inhibitor	MTOR	override	BRD-K69932463	TYKNU	10.0	um	6.0	h	CPC006_TYKNU_6H:BRD-K69932463:10.0	25262965.0	results/paper2_bcells_scvi/l1000cds2/GSE195452_bcells_cluster2.tsv	AZD8055		azd8055
GSE195452_bcells_cluster2	34	0.0406	GR-103	UNMAPPED			unmapped	BRD-K89085489	NPC	10.0	um	24.0	h	CPC014_NPC_24H:BRD-K89085489:10.0	5288209.0	results/paper2_bcells_scvi/l1000cds2/GSE195452_bcells_cluster2.tsv	GR-103		gr-103
GSE195452_bcells_cluster2	38	0.0406	PD-0325901	MEK_inhibitor	MEK1/2 inhibitor	MAP2K1/MAP2K2	override	BRD-K49865102	A375	0.37	um	24.0	h	LJP005_A375_24H:BRD-K49865102:0.37	9826528.0	results/paper2_bcells_scvi/l1000cds2/GSE195452_bcells_cluster2.tsv	PD-0325901		pd-0325901
GSE195452_bcells_cluster2	39	0.0406	BMS-387032	JAK_inhibitor	JAK inhibitor	JAK (family)	curated	BRD-K43389698	BT20	0.12	um	24.0	h	LJP006_BT20_24H:BRD-K43389698:0.12	3025986.0	results/paper2_bcells_scvi/l1000cds2/GSE195452_bcells_cluster2.tsv	BMS-387032		bms-387032
GSE195452_bcells_cluster2	40	0.0406	PHA-793887	CDK_inhibitor	CDK inhibitor (pan)	CDK2/CDK5/CDK7	override	BRD-K64800655	MCF10A	0.12	um	3.0	h	LJP006_MCF10A_3H:BRD-K64800655:0.12	46191454.0	results/paper2_bcells_scvi/l1000cds2/GSE195452_bcells_cluster2.tsv	PHA-793887		pha-793887
GSE195452_bcells_cluster2	42	0.0355	Parthenolide	NFkB_inhibitor	NF-kB pathway inhibitor	NF-kB (pathway)	curated	BRD-K81651477	A375	20.0	um	24.0	h	CPC006_A375_24H:BRD-K81651477:20.0	5420804.0	results/paper2_bcells_scvi/l1000cds2/GSE195452_bcells_cluster2.tsv	Parthenolide		parthenolide
GSE195452_bcells_cluster2	43	0.0355	thiazolopyrimidine	UNMAPPED			unmapped	BRD-A75517195	HA1E	40.0	um	24.0	h	CPC006_HA1E_24H:BRD-A75517195:40.0	5758458.0	results/paper2_bcells_scvi/l1000cds2/GSE195452_bcells_cluster2.tsv	thiazolopyrimidine		thiazolopyrimidine
GSE195452_bcells_cluster2	44	0.0355	Narciclasine	protein_synthesis_inhibitor	translation inhibitor / cytoskeletal effects	RPL/RPS (ribosome)	override	BRD-K06792661	HT29	10.0	um	24.0	h	CPC006_HT29_24H:BRD-K06792661:10.0	72376.0	results/paper2_bcells_scvi/l1000cds2/GSE195452_bcells_cluster2.tsv	Narciclasine		narciclasine
GSE195452_bcells_cluster2	45	0.0355	HLI 373	UNMAPPED			unmapped	BRD-K17349619	NOMO1	10.0	um	6.0	h	CPC006_NOMO1_6H:BRD-K17349619:10.0	435678.0	results/paper2_bcells_scvi/l1000cds2/GSE195452_bcells_cluster2.tsv	HLI 373		hli 373
GSE195452_bcells_cluster2	46	0.0355	Parthenolide	NFkB_inhibitor	NF-kB pathway inhibitor	NF-kB (pathway)	curated	BRD-K81651477	PL21	20.0	um	6.0	h	CPC006_PL21_6H:BRD-K81651477:20.0	5420804.0	results/paper2_bcells_scvi/l1000cds2/GSE195452_bcells_cluster2.tsv	Parthenolide		parthenolide
GSE195452_bcells_cluster2	47	0.0355	MESORIDAZINE	dopamine_antagonist	antipsychotic (D2 antagonist)	DRD2	override	BRD-A14395271	RKO	10.0	um	6.0	h	CPC006_RKO_6H:BRD-A14395271:10.0	4078.0	results/paper2_bcells_scvi/l1000cds2/GSE195452_bcells_cluster2.tsv	MESORIDAZINE		mesoridazine
GSE195452_bcells_cluster2	48	0.0355	Narciclasine	protein_synthesis_inhibitor	translation inhibitor / cytoskeletal effects	RPL/RPS (ribosome)	override	BRD-K06792661	SW620	10.0	um	6.0	h	CPC006_SW620_6H:BRD-K06792661:10.0	72376.0	results/paper2_bcells_scvi/l1000cds2/GSE195452_bcells_cluster2.tsv	Narciclasine		narciclasine
GSE195452_bcells_cluster2	50	0.0355	AZD8055	mTOR_inhibitor	mTORC1/2 inhibitor	MTOR	override	BRD-K69932463	SW948	10.0	um	6.0	h	CPC006_SW948_6H:BRD-K69932463:10.0	25262965.0	results/paper2_bcells_scvi/l1000cds2/GSE195452_bcells_cluster2.tsv	AZD8055		azd8055
